id,title,release_date,developer,publisher,genres,multiplayer_or_singleplayer,price,percent_positive,win_support,mac_support,lin_support
123,Golf With Your Friends,29-01-2016,Blacklight Interactive,Team17 Digital Ltd,Casual;Indie;Sports;Early Access,Single-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Workshop;Stats;Includes level editor,"1,129",91%,1,1,1
124,PlanetSide 2,20-11-2012,Daybreak Game Company,Daybreak Game Company,Action;Free to Play;Massively Multiplayer,Multi-player;MMO;Steam Trading Cards,Free to play,61%,1,0,0
125,Kerbal Space Program,27-04-2015,Squad,Private Division ,Indie;Simulation,Single-player;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud,849,81%,1,1,1
126,Trove,09-07-2015,Trion Worlds,Trion Worlds,Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG,Online Multi-Player;MMO;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases,Free to play,91%,1,0,0
127,Kingdom Come: Deliverance,13-02-2018,Warhorse Studios,Warhorse Studios;Deep Silver,Action;Adventure;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,699,79%,1,0,0
128,GROUND BRANCH,14-08-2018,BlackFoot Studios,BlackFoot Studios,Action;Indie;Early Access,Single-player;Online Multi-Player;Online Co-op;VR Support;Partial Controller Support,699,94%,1,0,0
129,Prison Architect,06-10-2015,Introversion Software,Paradox Interactive,Indie;Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,699,89%,1,1,1
130,Far Cry® 5,26-03-2018,Ubisoft Montreal;Red Storm;Ubisoft Shanghai;Ubisoft Toronto;Ubisoft Kiev,Ubisoft,Action;Adventure,Single-player;Multi-player;Co-op;Steam Trading Cards;Captions available;In-App Purchases;Partial Controller Support;Includes level editor,"2,999",91%,1,0,0
131,Idle Champions of the Forgotten Realms,07-09-2017,Codename Entertainment Inc.,Codename Entertainment Inc.,Action;Adventure;Free to Play;Indie;Strategy;Early Access,Single-player;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to play,88%,1,1,0
132,NieR:Automata™,17-03-2017,Square Enix;PlatinumGames Inc.,Square Enix,Action;RPG,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,"1,330",68%,1,0,0
133,Planet Coaster,17-11-2016,Frontier Developments,Frontier Developments,Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,"2,970",88%,1,1,0
134,The Long Dark,01-08-2017,Hinterland Studio Inc.,Hinterland Studio Inc.,Adventure;Indie;Simulation;Strategy,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,759,89%,1,1,1
135,PICO PARK,27-04-2016,TECOPARK,TECOPARK,Action;Casual,Multi-player;Co-op;Full controller support;Steam Trading Cards,199,89%,1,0,0
136,Russian Fishing 4,15-06-2018,Russian Fishing,Russian Fishing,Adventure;Casual;Free to Play;Massively Multiplayer;RPG;Simulation;Sports;Early Access,Single-player;Multi-player;Online Multi-Player;MMO;Steam Achievements;In-App Purchases;Stats,Free to play,80%,1,0,0
137,Middle-earth™: Shadow of War™,09-10-2017,Monolith Productions,WB Games,Action;Adventure;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,959,83%,1,0,0
138,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,04-02-2016,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,Action;Adventure,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,"2,000",96%,1,0,0
139,Assassin's Creed® Unity,19-12-2014,Ubisoft,Ubisoft,Action;Adventure,Single-player;Multi-player;Co-op;In-App Purchases;Partial Controller Support,"1,499",95%,1,0,0
140,The Isle,01-12-2015,Afterthought LLC,Afterthought LLC,Action;Adventure;Indie;Massively Multiplayer;Simulation;Early Access,Multi-player;Partial Controller Support;Valve Anti-Cheat enabled,565,94%,1,0,0
141,Killing Floor 2,18-11-2016,Tripwire Interactive,Tripwire Interactive,Action,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Includes level editor,729,79%,1,0,0
142,Sid Meier's Civilization® V,23-09-2010,Firaxis Games;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),Strategy,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"1,499",91%,1,1,1
143,Darkest Dungeon®,19-01-2016,Red Hook Studios,Red Hook Studios,Indie;RPG;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,619,91%,1,1,1
144,DRAGON BALL FighterZ,26-01-2018,Arc System Works,BANDAI NAMCO Entertainment,Action,Single-player;Multi-player;Online Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"3,499",84%,1,0,0
145,Batman™: Arkham Knight,23-06-2015,Rocksteady Studios,Warner Bros. Interactive Entertainment,Action;Adventure,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,"1,349",95%,1,0,0
146,Company of Heroes 2,25-06-2013,Relic Entertainment;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),Strategy,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats,565,86%,1,1,1
147,Pavlov VR,27-02-2017,davevillz,davevillz,Violent;Gore;Action;Indie;Early Access,Multi-player;Online Multi-Player;Steam Workshop,569,92%,1,0,0
148,Quest Hunter,08-03-2019,2 Zombie Games,2 Zombie Games,Action;Adventure;Indie;RPG,Single-player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,529,98%,1,1,1
149,For The King,19-04-2018,IronOak Games,Curve Digital,Adventure;Indie;RPG;Strategy,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,529,86%,1,1,1
150,NARUTO TO BORUTO: SHINOBI STRIKER,30-08-2018,Soleil Ltd.,BANDAI NAMCO Entertainment,Action,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Partial Controller Support,"1,099",81%,1,0,0
151,Portal,10-10-2007,Valve,Valve,Action,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,480,79%,1,1,1
152,Gang Beasts,12-12-2017,Boneloaf,Double Fine Presents,Action;Adventure;Casual;Indie,Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support,565,82%,1,1,1
153,Assassin’s Creed® IV Black Flag™,19-11-2013,Ubisoft Montreal,Ubisoft,Action;Adventure,Single-player;Multi-player;In-App Purchases,"1,999",92%,1,0,0
154,IL-2 Sturmovik: Battle of Stalingrad,22-10-2014,1C Game Studios;777 Studios,1C Game Studios,Action;Simulation,Single-player;Multi-player;Co-op;Steam Trading Cards;Partial Controller Support;Includes level editor,"3,399",92%,1,0,0
155,The Lord of the Rings Online™,06-06-2012,"Standing Stone Games, LLC","Standing Stone Games, LLC",Free to Play;Massively Multiplayer;RPG,MMO,Free to play,92%,1,0,0
156,Forts,19-04-2017,EarthWork Games,EarthWork Games,Action;Strategy,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Workshop;Steam Leaderboards;Includes level editor,479,94%,1,0,0
157,Scrap Mechanic,19-01-2016,Axolot Games,Axolot Games,Action;Adventure;Indie;Simulation;Early Access,Single-player;Multi-player;Co-op;Steam Workshop;Steam Cloud,565,73%,1,0,0
158,Stranded Deep,23-01-2015,Beam Team Games,Beam Team Pty Ltd,Adventure;Indie;Early Access,Single-player;Full controller support;Includes level editor,529,89%,1,1,1
159,The Crew™ 2,28-06-2018,Ivory Tower,Ubisoft,Action;Massively Multiplayer;Racing,Single-player;Online Multi-Player;MMO;Online Co-op;In-App Purchases;Partial Controller Support,"2,499",92%,1,0,0
160,Automation - The Car Company Tycoon Game,12-03-2015,Camshaft Software,Camshaft Software,Simulation;Strategy;Early Access,Single-player,699,77%,1,0,0
161,Rocksmith® 2014 Edition - Remastered,04-10-2016,Ubisoft - San Francisco,Ubisoft,Casual;Simulation,Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support;Steam Cloud;Steam Leaderboards,"1,499",89%,1,1,0
162,Two Point Hospital,29-08-2018,Two Point Studios,SEGA,Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,"1,499",87%,1,1,1
163,XCOM® 2,04-02-2016,Firaxis Games;Feral Interactive (Mac);Feral Interactive (Linux),2K;Feral Interactive (Mac);Feral Interactive (Linux),Strategy,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,"2,999",81%,1,1,1
164,UNO,03-01-2017,Ubisoft Entertainment,Ubisoft Entertainment,Casual,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Full controller support;Steam Trading Cards,499,63%,1,0,0
165,Farming Simulator 19,19-11-2018,Giants Software,Focus Home Interactive,Simulation,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,799,96%,1,1,0
166,Shakes and Fidget,24-02-2016,Playa Games GmbH,Playa Games GmbH,Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Strategy,Single-player;MMO;Cross-Platform Multiplayer;In-App Purchases,Free to play,86%,1,1,0
167,House Party,30-06-2017,"Eek! Games, LLC","Eek! Games, LLC",Adventure;Casual;Indie;Simulation;Early Access,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,"1,199",96%,1,0,0
168,Little Nightmares,27-04-2017,Tarsier Studios,BANDAI NAMCO Entertainment,Adventure,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,565,98%,1,0,0
169,Left 4 Dead,17-11-2008,Valve,Valve,Action,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available,480,66%,1,1,0
170,Slime Rancher,01-08-2017,Monomi Park,Monomi Park,Action;Adventure;Indie;Simulation,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,565,93%,1,1,1
171,Eco,06-02-2018,Strange Loop Games,Strange Loop Games,Indie;Simulation;Early Access,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op,699,89%,1,0,0
172,BIGFOOT,01-01-2017,CyberLight Game Studio,CyberLight Game Studio,Adventure;Indie;Early Access,Single-player;Online Co-op;Steam Trading Cards,880,89%,1,0,0
173,Neverwinter,05-12-2013,Cryptic Studios,Perfect World Entertainment,Adventure;Free to Play;Massively Multiplayer;RPG,Multi-player;MMO;Co-op;Steam Trading Cards;In-App Purchases;Includes level editor,Free to play,93%,1,0,0
174,Assassin's Creed® Syndicate,18-11-2015,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",Ubisoft,Action;Adventure,Single-player;In-App Purchases;Partial Controller Support,"1,999",83%,1,0,0
175,Geometry Dash,22-12-2014,RobTop Games,RobTop Games,Action;Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Includes level editor,165,97%,1,1,0
176,Getting Over It with Bennett Foddy,06-12-2017,Bennett Foddy,Bennett Foddy,Action,Single-player;Partial Controller Support;Commentary available,299,98%,1,1,1
177,VTOL VR,03-08-2017,"Boundless Dynamics, LLC","Boundless Dynamics, LLC",Action;Indie;Simulation;Early Access,Single-player,729,83%,1,0,0
178,March of Empires,11-12-2017,Gameloft,Gameloft,Free to Play;Massively Multiplayer;RPG;Strategy,Online Multi-Player;Steam Achievements;In-App Purchases,Free to play,87%,1,0,0
179,OMSI 2: Steam Edition,11-12-2013,MR-Software GbR,Aerosoft GmbH,Casual;Simulation,Single-player;Full controller support;Includes level editor,"1,213",82%,1,0,0
180,Age of Mythology: Extended Edition,08-05-2014,SkyBox Labs;Ensemble Studios,Microsoft Studios,Simulation;Strategy,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,729,77%,1,0,0
181,A Dance of Fire and Ice,24-01-2019,7th Beat Games,7th Beat Games;indienova,Indie,Single-player;Steam Achievements;Partial Controller Support;Includes level editor,219,94%,1,1,1
182,The Elder Scrolls V: Skyrim VR,02-04-2018,Bethesda Game Studios,Bethesda Softworks,RPG,Single-player;Steam Achievements;Full controller support;VR Support;SteamVR Collectibles;Steam Cloud,"2,999",75%,1,0,0
183,My Summer Car,24-10-2016,Amistech Games,Amistech Games,Indie;Racing;Simulation;Early Access,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,479,81%,1,0,0
184,Ultimate Chicken Horse,04-03-2016,Clever Endeavour Games,Clever Endeavour Games,Action;Casual;Indie,Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,459,65%,1,1,1
185,Rec Room,28-06-2016,Against Gravity®,Against Gravity®,Action;Adventure;Casual;Free to Play;Massively Multiplayer;Sports;Early Access,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Full controller support;SteamVR Collectibles;Includes level editor,Free to play,96%,1,0,0
186,ICEY,17-11-2016,FantaBlade Network,X.D. Network Inc.,Action;Adventure;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,563,89%,1,1,0
187,They Are Billions,12-12-2017,Numantian Games,Numantian Games,Strategy;Early Access,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,"1,199",95%,1,0,0
188,City Car Driving,03-11-2016,"Forward Development, Ltd.","Forward Global Group, Ltd.",Indie;Racing;Simulation,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,569,84%,1,0,0
189,Undertale,15-09-2015,tobyfox,tobyfox,Indie;RPG,Single-player;Steam Trading Cards,369,85%,1,1,1
190,SPORE™,19-12-2008,Maxis™,Electronic Arts,Simulation,Single-player,999,96%,1,0,0
191,Wreckfest,14-06-2018,Bugbear,THQ Nordic,Action;Indie;Racing;Simulation;Sports,Single-player;Multi-player;Online Multi-Player;Steam Workshop;Partial Controller Support;Stats;Steam Leaderboards,"1,139",79%,1,0,0
192,Stick Fight: The Game,28-09-2017,Landfall West,Landfall,Action;Casual;Indie,Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Partial Controller Support,259,97%,1,1,0
193,"Warhammer 40,000: Gladius - Relics of War",12-07-2018,Proxy Studios,Slitherine Ltd.,Strategy,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud,899,93%,1,0,1
194,Call of Duty®: WWII,02-11-2017,Sledgehammer Games;Raven Software,Activision,Action,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled,"3,999",85%,1,0,0
195,Fallout 3: Game of the Year Edition,17-12-2009,Bethesda Game Studios,Bethesda Softworks,RPG,Single-player,565,95%,1,0,0
196,Counter-Strike,01-11-2000,Valve,Valve,Action,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,349,87%,1,1,1
197,Street Fighter V,15-02-2016,Capcom,Capcom,Action,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards,"1,499",98%,1,0,0
198,Castle Crashers®,26-09-2012,The Behemoth,The Behemoth,Action;Adventure;Casual;Indie;RPG,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,459,97%,1,1,0
199,Barony,23-06-2015,Turning Wheel LLC,Turning Wheel LLC,Action;Adventure;Indie;RPG,Single-player;Multi-player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Includes level editor,459,91%,1,1,1
200,Black Mesa,05-05-2015,Crowbar Collective,Crowbar Collective,Action;Adventure;Indie;Early Access,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor;Includes Source SDK,529,96%,1,0,1
201,The Elder Scrolls IV: Oblivion® Game of the Year Edition,16-06-2009,Bethesda Game Studios,Bethesda Softworks,RPG,Single-player;Steam Cloud,565,78%,1,0,0
202,Call of Duty®: Infinite Warfare,03-11-2016,Infinity Ward,Activision,Action;Adventure,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Valve Anti-Cheat enabled,"4,299",55%,1,0,0
203,The Jackbox Party Pack 3,17-10-2016,"Jackbox Games, Inc.","Jackbox Games, Inc.",Casual;Indie;Strategy,Single-player;Local Multi-Player;Local Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,619,60%,1,1,1
204,Plants vs. Zombies GOTY Edition,05-05-2009,"PopCap Games, Inc.","PopCap Games, Inc.",Strategy,Single-player;Steam Achievements,259,91%,1,1,0
205,Crush Crush,18-10-2016,Sad Panda Studios,Sad Panda Studios,Casual;Free to Play;Indie,Single-player;Steam Achievements;Steam Trading Cards;In-App Purchases;Stats;Steam Leaderboards,Free to play,92%,1,1,1
206,Outlast,04-09-2013,Red Barrels,Red Barrels,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,529,95%,1,1,1
